n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,dataset,method,params,runtime_s,inertia,n_iter
7,0.0,0.3937437209297905,0.6877484517301892,6093.829501596936,,,UberNYC,KMeans++,"{""k"": 7}",0.03252585999996427,22929.659702662033,8.0
8,0.0,0.4166671471694509,0.7009133977410051,6312.788369369562,,,UberNYC,KMeans++,"{""k"": 8}",0.03960081100001389,19441.941770343063,18.0
9,0.0,0.40534110375217886,0.7314958795187931,6488.324284319153,,,UberNYC,KMeans++,"{""k"": 9}",0.03984264999996867,16848.100341784153,19.0
10,0.0,0.4109687015587392,0.755987630134306,6446.301213567517,,,UberNYC,KMeans++,"{""k"": 10}",0.03692817000001014,15237.436615043822,17.0
11,0.0,0.3894163049222955,0.7763939399556843,6276.68184098576,,,UberNYC,KMeans++,"{""k"": 11}",0.04474060699999427,14183.349774330714,24.0
12,0.0,0.3946013908708076,0.7502829827523617,6192.522414475923,,,UberNYC,KMeans++,"{""k"": 12}",0.04456503500000508,13156.596812949138,11.0
13,0.0,0.3963248969564317,0.7455595879987006,6173.0267248847595,,,UberNYC,KMeans++,"{""k"": 13}",0.049792062000051374,12175.635804330599,12.0
14,0.0,0.38571463751076673,0.7769024901976422,6104.186180037005,,,UberNYC,KMeans++,"{""k"": 14}",0.04891895499997645,11421.693666566764,17.0
15,0.0,0.3677075621632569,0.7809436801351779,6245.671724292548,,,UberNYC,KMeans++,"{""k"": 15}",0.057440399000029174,10430.723152469858,10.0
16,0.0,0.38721240534347323,0.7702433591604896,6393.355122438732,,,UberNYC,KMeans++,"{""k"": 16}",0.05747968100001799,9563.166470985872,15.0
17,0.0,0.388498474723314,0.7805303254295337,6322.8952816284,,,UberNYC,KMeans++,"{""k"": 17}",0.05997805599997719,9091.973277700246,18.0
18,0.0,0.4052203207020602,0.7397470798512571,6472.891902979777,,,UberNYC,KMeans++,"{""k"": 18}",0.0659743859999935,8395.120519315122,15.0
19,0.0,0.40048347266260564,0.7643588290074441,6414.976399604152,,,UberNYC,KMeans++,"{""k"": 19}",0.07629969799995706,8018.775338937439,15.0
20,0.0,0.40025194600739555,0.7719649307347776,6375.028681648456,,,UberNYC,KMeans++,"{""k"": 20}",0.07023615100001734,7660.635178467152,21.0
